F,phi_norm,a,c,C**2,a**2,a/t,a/c,ac/t,a/(c**2),a/(t**2),(a**2)/c,(a**2)/t,sin(a/t),cos(a/t),act,c**3,a**3,(c**3 * t)/a,(a**2 * c)/t,a * (c**2),tan(a/t),pn/a,pn/t,pn/c,(a**2+c**2)**.5,c**2+a**2
1.043683708,1.398196868,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,9.321312453,1.864262491,46.60656227,0.1529705854,0.0234
1.055472848,1.377148042,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,9.180986947,1.836197389,45.90493473,0.1529705854,0.0234
1.065484476,1.356542894,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,9.043619293,1.808723859,45.21809647,0.1529705854,0.0234
1.074367644,1.336334186,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,8.908894573,1.781778915,44.54447287,0.1529705854,0.0234
1.083401195,1.316481729,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,8.77654486,1.755308972,43.8827243,0.1529705854,0.0234
1.091587709,1.296949532,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,8.646330213,1.729266043,43.23165107,0.1529705854,0.0234
1.099235382,1.277704728,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,8.51803152,1.703606304,42.5901576,0.1529705854,0.0234
1.105316467,1.258718562,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,8.39145708,1.678291416,41.9572854,0.1529705854,0.0234
1.111140533,1.239965122,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,8.266434147,1.653286829,41.33217073,0.1529705854,0.0234
1.117240849,1.221420888,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,8.14280592,1.628561184,40.7140296,0.1529705854,0.0234
1.122877297,1.203064361,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,8.020429073,1.604085815,40.10214537,0.1529705854,0.0234
1.128518678,1.184875761,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,7.89917174,1.579834348,39.4958587,0.1529705854,0.0234
1.133849124,1.166836759,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,7.778911727,1.555782345,38.89455863,0.1529705854,0.0234
1.137600363,1.14893027,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,7.659535133,1.531907027,38.29767567,0.1529705854,0.0234
1.141485449,1.131140257,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,7.540935047,1.508187009,37.70467523,0.1529705854,0.0234
1.144383138,1.113451573,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,7.423010487,1.484602097,37.11505243,0.1529705854,0.0234
1.145780194,1.095849802,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,7.305665347,1.461133069,36.52832673,0.1529705854,0.0234
1.147355168,1.078321174,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,7.188807827,1.437761565,35.94403913,0.1529705854,0.0234
1.149416849,1.060852444,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,7.072349627,1.414469925,35.36174813,0.1529705854,0.0234
1.150560931,1.043430752,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,6.956205013,1.391241003,34.78102507,0.1529705854,0.0234
1.151084158,1.026043548,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,6.84029032,1.368058064,34.2014516,0.1529705854,0.0234
